codigo_ibge,tipo,nome_ente,uf,regiao,status,status_grupo
12,estado,Acre,AC,Norte,em_analise,em_processo
1200013,municipio,Acrelândia,AC,Norte,em_cadastramento,em_processo
1200054,municipio,Assis Brasil,AC,Norte,nao_iniciado,nao_iniciado
1200104,municipio,Brasiléia,AC,Norte,em_analise,em_processo
1200138,municipio,Bujari,AC,Norte,em_analise,em_processo
1200179,municipio,Capixaba,AC,Norte,em_cadastramento,em_processo
1200203,municipio,Cruzeiro do Sul,AC,Norte,em_analise,em_processo
1200252,municipio,Epitaciolândia,AC,Norte,nao_iniciado,nao_iniciado
1200302,municipio,Feijó,AC,Norte,em_analise,em_processo
1200328,municipio,Jordão,AC,Norte,em_analise,em_processo
1200336,municipio,Mâncio Lima,AC,Norte,em_analise,em_processo
1200344,municipio,Manoel Urbano,AC,Norte,nao_iniciado,nao_iniciado
1200351,municipio,Marechal Thaumaturgo,AC,Norte,em_analise,em_processo
1200385,municipio,Plácido de Castro,AC,Norte,em_cadastramento,em_processo
1200807,municipio,Porto Acre,AC,Norte,em_analise,em_processo
1200393,municipio,Porto Walter,AC,Norte,em_analise,em_processo
1200401,municipio,Rio Branco,AC,Norte,em_analise,em_processo
1200427,municipio,Rodrigues Alves,AC,Norte,em_analise,em_processo
1200435,municipio,Santa Rosa do Purus,AC,Norte,nao_iniciado,nao_iniciado
1200450,municipio,Senador Guiomard,AC,Norte,nao_iniciado,nao_iniciado
1200500,municipio,Sena Madureira,AC,Norte,em_analise,em_processo
1200609,municipio,Tarauacá,AC,Norte,em_analise,em_processo
1200708,municipio,Xapuri,AC,Norte,em_analise,em_processo
27,estado,Alagoas,AL,Nordeste,em_analise,em_processo
2700102,municipio,Água Branca,AL,Nordeste,nao_iniciado,nao_iniciado
2700201,municipio,Anadia,AL,Nordeste,em_analise,em_processo
2700300,municipio,Arapiraca,AL,Nordeste,em_analise,em_processo
2700409,municipio,Atalaia,AL,Nordeste,em_analise,em_processo
2700508,municipio,Barra de Santo Antônio,AL,Nordeste,em_analise,em_processo
2700607,municipio,Barra de São Miguel,AL,Nordeste,em_cadastramento,em_processo
2700706,municipio,Batalha,AL,Nordeste,em_cadastramento,em_processo
